2025-11-12 11:41:14,009 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:14,387 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=32320
2025-11-12 11:41:14,411 | INFO | app.acquisition.real_mscl_client | Stream-10603 | Received sweep #15901 from node 10603: 1 samples, accumulated: 28
2025-11-12 11:41:14,414 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:14,729 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=32352
2025-11-12 11:41:14,761 | INFO | app.acquisition.real_mscl_client | Stream-10603 | Stream loop iteration #1020 - Still receiving data...
2025-11-12 11:41:14,872 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:15,248 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.40Hz, tension=19.3N, samples=32384
2025-11-12 11:41:15,289 | INFO | werkzeug | Thread-2644 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:15] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:41:15,324 | INFO | werkzeug | Thread-2645 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:15] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:15,467 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:15,468 | INFO | werkzeug | Thread-2647 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:15] "[35m[1mPOST /_dash-update-component HTTP/1.1[0m" 204 -
2025-11-12 11:41:15,503 | INFO | werkzeug | Thread-2643 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:15] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:15,631 | INFO | werkzeug | Thread-2646 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:15] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:15,640 | INFO | werkzeug | Thread-2648 (process_request_thread) | 127.0.0.1 - - [12/Nov/2025 11:41:15] "POST /_dash-update-component HTTP/1.1" 200 -
2025-11-12 11:41:15,965 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=32416
2025-11-12 11:41:15,992 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:16,275 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=32448
2025-11-12 11:41:16,299 | INFO | app.acquisition.real_mscl_client | Stream-10603 | Received sweep #16001 from node 10603: 1 samples, accumulated: 0
2025-11-12 11:41:16,372 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
2025-11-12 11:41:16,650 | INFO | app.acquisition.stream_manager | Stream-10603 | Updating realtime_store for 10603: f1=4.39Hz, tension=19.3N, samples=32480
2025-11-12 11:41:16,881 | INFO | app.acquisition.stream_manager | Stream-10603 | _handle_sample called for 10603: 32 samples
